year,unitid,instnm,carnegie,stabbr,addr,city,control,lat,lon,total
2021,127884,pueblo community college,40,co,900 w orman ave,pueblo,1,38.262124,-104.636258,9
2022,127884,pueblo community college,40,co,900 w orman ave,pueblo,1,38.262124,-104.636258,5
2023,127884,pueblo community college,40,co,900 w orman ave,pueblo,1,38.262124,-104.636258,6
2002,127918,regis university,21,co,3333 regis blvd,denver,2,39.789803,-105.030259,115
2003,127918,regis university,21,co,3333 regis blvd,denver,2,39.789803,-105.030259,127
2004,127918,regis university,21,co,3333 regis blvd,denver,2,39.789803,-105.030259,224
2005,127918,regis university,21,co,3333 regis blvd,denver,2,39.789803,-105.030259,308
2006,127918,regis university,21,co,3333 regis blvd,denver,2,39.789803,-105.030259,326
2007,127918,regis university,21,co,3333 regis blvd,denver,2,39.789803,-105.030259,350
2008,127918,regis university,21,co,3333 regis blvd,denver,2,39.789803,-105.030259,322
2009,127918,regis university,21,co,3333 regis blvd,denver,2,39.789803,-105.030259,355
2010,127918,regis university,21,co,3333 regis blvd,denver,2,39.787524,-105.030184,389
2011,127918,regis university,21,co,3333 regis blvd,denver,2,39.78976,-105.031385,415
2012,127918,regis university,21,co,3333 regis blvd,denver,2,39.78976,-105.031385,416
2013,127918,regis university,21,co,3333 regis blvd,denver,2,39.78976,-105.031385,436
2014,127918,regis university,21,co,3333 regis blvd,denver,2,39.78976,-105.031385,418
2015,127918,regis university,21,co,3333 regis blvd,denver,2,39.78976,-105.031385,425
2016,127918,regis university,21,co,3333 regis blvd,denver,2,39.78976,-105.031385,385
2017,127918,regis university,21,co,3333 regis blvd,denver,2,39.788175,-105.030756,380
2018,127918,regis university,21,co,3333 regis blvd,denver,2,39.788175,-105.030756,336
2019,127918,regis university,21,co,3333 regis blvd,denver,2,39.788175,-105.030756,310
2020,127918,regis university,21,co,3333 regis blvd,denver,2,39.788175,-105.030756,271
2021,127918,regis university,21,co,3333 regis blvd,denver,2,39.788175,-105.030756,274
2022,127918,regis university,21,co,3333 regis blvd,denver,2,39.788175,-105.030756,290
2023,127918,regis university,21,co,3333 regis blvd,denver,2,39.788175,-105.030756,279
2002,128106,university of southern colorado,21,co,2200 bonforte blvd,pueblo,1,38.303322,-104.581345,32
2003,128106,colorado state university-pueblo,21,co,2200 bonforte blvd,pueblo,1,38.303322,-104.581345,35
2004,128106,colorado state university-pueblo,21,co,2200 bonforte blvd,pueblo,1,38.303322,-104.581345,41
2005,128106,colorado state university-pueblo,21,co,2200 bonforte blvd,pueblo,1,38.303322,-104.581345,44
2006,128106,colorado state university-pueblo,21,co,2200 bonforte blvd,pueblo,1,38.303322,-104.581345,78
2007,128106,colorado state university-pueblo,21,co,2200 bonforte blvd,pueblo,1,38.303322,-104.581345,83
2008,128106,colorado state university-pueblo,21,co,2200 bonforte blvd,pueblo,1,38.303322,-104.581345,89
2009,128106,colorado state university-pueblo,21,co,2200 bonforte blvd,pueblo,1,38.303322,-104.581345,69
2010,128106,colorado state university-pueblo,21,co,2200 bonforte blvd,pueblo,1,38.303334,-104.581311,73
2011,128106,colorado state university-pueblo,21,co,2200 bonforte blvd,pueblo,1,38.309219,-104.579846,83
2012,128106,colorado state university-pueblo,21,co,2200 bonforte blvd,pueblo,1,38.309219,-104.579846,89
2013,128106,colorado state university-pueblo,21,co,2200 bonforte blvd,pueblo,1,38.309219,-104.579846,85
2014,128106,colorado state university-pueblo,21,co,2200 bonforte blvd,pueblo,1,38.309219,-104.579846,80
2015,128106,colorado state university-pueblo,21,co,2200 bonforte blvd,pueblo,1,38.309219,-104.579846,80
2016,128106,colorado state university-pueblo,21,co,2200 bonforte blvd,pueblo,1,38.309219,-104.579846,69
2017,128106,colorado state university-pueblo,21,co,2200 bonforte blvd,pueblo,1,38.30859,-104.579033,97
2018,128106,colorado state university-pueblo,21,co,2200 bonforte blvd,pueblo,1,38.30859,-104.579033,83
2019,128106,colorado state university-pueblo,21,co,2200 bonforte blvd,pueblo,1,38.30859,-104.579033,92
2020,128106,colorado state university pueblo,21,co,2200 bonforte blvd,pueblo,1,38.30859,-104.579033,111
2021,128106,colorado state university pueblo,21,co,2200 bonforte blvd,pueblo,1,38.30859,-104.579033,135
2022,128106,colorado state university pueblo,21,co,2200 bonforte blvd,pueblo,1,38.30859,-104.579033,139
2023,128106,colorado state university pueblo,21,co,2200 bonforte blvd,pueblo,1,38.30859,-104.579033,110
2002,128258,trinidad state junior college,40,co,600 prospect st,trinidad,1,37.171639,-104.513718,0
2003,128258,trinidad state junior college,40,co,600 prospect st,trinidad,1,37.171639,-104.513718,0
2004,128258,trinidad state junior college,40,co,600 prospect st,trinidad,1,37.171639,-104.513718,0
2005,128258,trinidad state junior college,40,co,600 prospect st,trinidad,1,37.171639,-104.513718,0
2006,128258,trinidad state junior college,40,co,600 prospect st,trinidad,1,37.171639,-104.513718,0
2007,128258,trinidad state junior college,40,co,600 prospect st,trinidad,1,37.171639,-104.513718,0
2008,128258,trinidad state junior college,40,co,600 prospect st,trinidad,1,37.171639,-104.513718,0
2009,128258,trinidad state junior college,40,co,600 prospect st,trinidad,1,37.171639,-104.513718,0
2010,128258,trinidad state junior college,40,co,600 prospect st,trinidad,1,37.171651,-104.513693,0
2011,128258,trinidad state junior college,40,co,600 prospect st,trinidad,1,37.172939,-104.512184,0
2012,128258,trinidad state junior college,40,co,600 prospect st,trinidad,1,37.172939,-104.512184,0
2013,128258,trinidad state junior college,40,co,600 prospect st,trinidad,1,37.172939,-104.512184,0
2014,128258,trinidad state junior college,40,co,600 prospect st,trinidad,1,37.172939,-104.512184,0
2015,128258,trinidad state junior college,40,co,600 prospect st,trinidad,1,37.172939,-104.512184,0
2016,128258,trinidad state junior college,40,co,600 prospect st,trinidad,1,37.172939,-104.512184,0
2017,128258,trinidad state junior college,40,co,600 prospect st,trinidad,1,37.172059,-104.513451,0
2018,128258,trinidad state junior college,40,co,600 prospect st,trinidad,1,37.172059,-104.513451,0
2019,128258,trinidad state junior college,40,co,600 prospect st,trinidad,1,37.172059,-104.513451,0
2020,128258,trinidad state junior college,40,co,600 prospect st,trinidad,1,37.172059,-104.513451,0
2021,128258,trinidad state college,40,co,600 prospect st,trinidad,1,37.172059,-104.513451,0
2022,128258,trinidad state college,40,co,600 prospect st,trinidad,1,37.172059,-104.513451,7
2023,128258,trinidad state college,40,co,600 prospect st,trinidad,1,37.172059,-104.513451,4
2002,130907,delaware technical and community college-terry,40,de,100 campus dr,dover,1,39.197518,-75.560776,0
2003,130907,delaware technical and community college-terry,40,de,100 campus dr,dover,1,39.197518,-75.560776,0
2004,130907,delaware technical and community college-terry,40,de,100 campus dr,dover,1,39.197518,-75.560776,0
2005,130907,delaware technical and community college-terry,40,de,100 campus dr,dover,1,39.197518,-75.560776,0
2006,130907,delaware technical and community college-terry,40,de,100 campus dr,dover,1,39.197518,-75.560776,0
2007,130907,delaware technical and community college-terry,40,de,100 campus dr,dover,1,39.197518,-75.560776,0
2008,130907,delaware technical and community college-terry,40,de,100 campus dr,dover,1,39.197518,-75.560776,0
2009,130907,delaware technical and community college-terry,40,de,100 campus dr,dover,1,39.197518,-75.560776,0
2010,130907,delaware technical and community college-terry,40,de,100 campus dr,dover,1,39.197527,-75.560738,0
2011,130907,delaware technical community college-terry,40,de,100 campus dr,dover,1,39.198371,-75.56012,0
2012,130907,delaware technical community college-terry,40,de,100 campus dr,dover,1,39.198371,-75.56012,0
2013,130907,delaware technical community college-terry,40,de,100 campus dr,dover,1,39.198371,-75.56012,0
2014,130907,delaware technical community college-terry,40,de,100 campus dr,dover,1,39.198371,-75.56012,0
2015,130907,delaware technical community college-terry,40,de,100 campus dr,dover,1,39.198371,-75.56012,0
2016,130907,delaware technical community college-terry,40,de,100 campus dr,dover,1,39.198371,-75.56012,0
2017,130907,delaware technical community college-terry,40,de,100 campus dr,dover,1,39.198371,-75.56012,0
2018,130907,delaware technical community college-terry,40,de,100 campus dr,dover,1,39.198371,-75.56012,0
2019,130907,delaware technical community college-terry,40,de,100 campus dr,dover,1,39.198371,-75.56012,43
2020,130907,delaware technical community college-terry,40,de,100 campus dr,dover,1,39.198371,-75.56012,51
2021,130907,delaware technical community college-terry,40,de,100 campus dr,dover,1,39.198371,-75.56012,94
2022,130907,delaware technical community college-terry,40,de,100 campus dr,dover,1,39.198371,-75.56012,107
2023,130907,delaware technical community college-terry,40,de,100 campus dr,dover,1,39.198371,-75.56012,127
2002,130934,delaware state university,21,de,1200 n. dupont highway,dover,1,39.182228,-75.537583,11
2003,130934,delaware state university,21,de,1200 n. dupont highway,dover,1,39.182228,-75.537583,16
2004,130934,delaware state university,21,de,1200 n. dupont highway,dover,1,39.182228,-75.537583,20
2005,130934,delaware state university,21,de,1200 n. dupont highway,dover,1,39.182228,-75.537583,23
2006,130934,delaware state university,21,de,1200 n. dupont highway,dover,1,39.182228,-75.537583,21
2007,130934,delaware state university,21,de,1200 n. dupont highway,dover,1,39.182228,-75.537583,19
2008,130934,delaware state university,21,de,1200 n. dupont highway,dover,1,39.182228,-75.537583,24
2009,130934,delaware state university,21,de,1200 n. dupont highway,dover,1,39.182228,-75.537583,21
2010,130934,delaware state university,21,de,1200 n. dupont highway,dover,1,39.184199,-75.533802,18
2011,130934,delaware state university,21,de,1200 n. dupont highway,dover,1,39.187173,-75.54053,36
2012,130934,delaware state university,21,de,1200 n. dupont highway,dover,1,39.187173,-75.54053,38
2013,130934,delaware state university,21,de,1200 n. dupont highway,dover,1,39.187173,-75.54053,47
2014,130934,delaware state university,21,de,1200 n. dupont highway,dover,1,39.187173,-75.54053,26
2015,130934,delaware state university,21,de,1200 n. dupont highway,dover,1,39.187173,-75.54053,25
2016,130934,delaware state university,21,de,1200 n. dupont highway,dover,1,39.187173,-75.54053,35
2017,130934,delaware state university,21,de,1200 n. dupont highway,dover,1,39.187173,-75.54053,20
2018,130934,delaware state university,21,de,1200 n. dupont highway,dover,1,39.187173,-75.54053,8
2019,130934,delaware state university,21,de,1200 n. dupont highway,dover,1,39.187173,-75.54053,12
2020,130934,delaware state university,21,de,1200 n. dupont highway,dover,1,39.187173,-75.54053,15
2021,130934,delaware state university,21,de,1200 n. dupont highway,dover,1,39.187173,-75.54053,28
2022,130934,delaware state university,21,de,1200 n. dupont highway,dover,1,39.187173,-75.54053,65
2023,130934,delaware state university,21,de,1200 n. dupont highway,dover,1,39.187173,-75.54053,66
2002,130943,university of delaware,15,de,104 hullihen hall,newark,1,39.679024,-75.751328,177
2003,130943,university of delaware,15,de,104 hullihen hall,newark,1,39.679024,-75.751328,176
2004,130943,university of delaware,15,de,104 hullihen hall,newark,1,39.679024,-75.751328,184
2005,130943,university of delaware,15,de,104 hullihen hall,newark,1,39.679024,-75.751328,197
2006,130943,university of delaware,15,de,104 hullihen hall,newark,1,39.679024,-75.751328,191
2007,130943,university of delaware,15,de,104 hullihen hall,newark,1,39.679024,-75.751328,167
2008,130943,university of delaware,15,de,104 hullihen hall,newark,1,39.679024,-75.751328,171
2009,130943,university of delaware,15,de,104 hullihen hall,newark,1,39.679024,-75.751328,185
2010,130943,university of delaware,15,de,104 hullihen hall,newark,1,39.679028,-75.751326,168
2011,130943,university of delaware,15,de,104 hullihen hall,newark,1,39.679782,-75.753579,194
2012,130943,university of delaware,15,de,104 hullihen hall,newark,1,39.679783,-75.753579,184
2013,130943,university of delaware,15,de,104 hullihen hall,newark,1,39.679791,-75.7536,176
2014,130943,university of delaware,15,de,104 hullihen hall,newark,1,39.679791,-75.7536,187
2015,130943,university of delaware,15,de,104 hullihen hall,newark,1,39.679574,-75.752917,207
2016,130943,university of delaware,15,de,104 hullihen hall,newark,1,39.679577,-75.752822,193
2017,130943,university of delaware,15,de,104 hullihen hall,newark,1,39.679577,-75.752822,184
2018,130943,university of delaware,15,de,104 hullihen hall,newark,1,39.679577,-75.752822,201
2019,130943,university of delaware,15,de,104 hullihen hall,newark,1,39.679577,-75.752822,191
2020,130943,university of delaware,15,de,104 hullihen hall,newark,1,39.679577,-75.752822,195
2021,130943,university of delaware,15,de,104 hullihen hall,newark,1,39.679577,-75.752822,184
2022,130943,university of delaware,15,de,104 hullihen hall,newark,1,39.679577,-75.752822,177
2023,130943,university of delaware,15,de,104 hullihen hall,newark,1,39.679577,-75.752822,196
2012,131098,wesley college,32,de,120 n state st,dover,2,39.16325,-75.527377,44
2013,131098,wesley college,32,de,120 n state st,dover,2,39.16325,-75.527377,32
2014,131098,wesley college,32,de,120 n state st,dover,2,39.16325,-75.527377,26
2015,131098,wesley college,32,de,120 n state st,dover,2,39.16325,-75.527377,23
2016,131098,wesley college,32,de,120 n state st,dover,2,39.163182,-75.527716,25
2017,131098,wesley college,32,de,120 n state st,dover,2,39.163182,-75.527716,32
2018,131098,wesley college,32,de,120 n state st,dover,2,39.163182,-75.527716,45
2019,131098,wesley college,32,de,120 n state st,dover,2,39.163182,-75.527716,42
2020,131098,wesley college,32,de,120 n state st,dover,2,39.163182,-75.527716,32
2021,131098,wesley college,32,de,120 n state st,dover,2,39.163182,-75.527716,47
2002,131113,wilmington college,16,de,320 dupont hwy,new castle,2,39.650185,-75.620286,62
2003,131113,wilmington college,16,de,320 dupont hwy,new castle,2,39.650185,-75.620286,63
2004,131113,wilmington college,16,de,320 dupont hwy,new castle,2,39.650185,-75.620286,51
2005,131113,wilmington college,16,de,320 dupont hwy,new castle,2,39.650185,-75.620286,52
2006,131113,wilmington college,16,de,320 dupont hwy,new castle,2,39.650185,-75.620286,34
2007,131113,wilmington university,16,de,320 dupont hwy,new castle,2,39.650185,-75.620286,57
2008,131113,wilmington university,16,de,320 dupont hwy,new castle,2,39.650185,-75.620286,75
2009,131113,wilmington university,16,de,320 dupont hwy,new castle,2,39.650185,-75.620286,96
2018,131113,wilmington university,16,de,320 dupont hwy,new castle,2,39.682299,-75.586998,540
2019,131113,wilmington university,16,de,320 dupont hwy,new castle,2,39.682299,-75.586998,496
2020,131113,wilmington university,16,de,320 dupont hwy,new castle,2,39.682299,-75.586998,461
2021,131113,wilmington university,16,de,320 dupont hwy,new castle,2,39.682299,-75.586998,415
2022,131113,wilmington university,16,de,320 dupont hwy,new castle,2,39.682299,-75.586998,239
2023,131113,wilmington university,16,de,320 dupont hwy,new castle,2,39.682299,-75.586998,137
2002,132471,barry university,21,fl,11300 ne 2nd ave,miami,2,25.879078,-80.196152,107
2003,132471,barry university,21,fl,11300 ne 2nd ave,miami,2,25.879078,-80.196152,78
2004,132471,barry university,21,fl,11300 ne 2nd ave,miami,2,25.879078,-80.196152,113
2005,132471,barry university,21,fl,11300 ne 2nd ave,miami,2,25.879078,-80.196152,112
2006,132471,barry university,21,fl,11300 ne 2nd ave,miami,2,25.879078,-80.196152,119
2007,132471,barry university,21,fl,11300 ne 2nd ave,miami,2,25.879078,-80.196152,143
2008,132471,barry university,21,fl,11300 ne 2nd ave,miami,2,25.879078,-80.196152,158
2009,132471,barry university,21,fl,11300 ne 2nd ave,miami,2,25.879078,-80.196152,156
2010,132471,barry university,21,fl,11300 ne 2nd ave,miami,2,25.879144,-80.194127,176
2012,132471,barry university,21,fl,11300 ne 2nd ave,miami,2,25.878865,-80.196136,201
2013,132471,barry university,21,fl,11300 ne 2nd ave,miami,2,25.878865,-80.196136,112
2014,132471,barry university,21,fl,11300 ne 2nd ave,miami,2,25.878865,-80.196136,119
2015,132471,barry university,21,fl,11300 ne 2nd ave,miami,2,25.878865,-80.196136,157
2016,132471,barry university,21,fl,11300 ne 2nd ave,miami,2,25.878865,-80.196136,161
2017,132471,barry university,21,fl,11300 ne 2nd ave,miami,2,25.878908,-80.198925,122
2018,132471,barry university,21,fl,11300 ne 2nd ave,miami,2,25.878908,-80.198925,62
2019,132471,barry university,21,fl,11300 ne 2nd ave,miami,2,25.878908,-80.198925,111
2020,132471,barry university,21,fl,11300 ne 2nd ave,miami,2,25.878908,-80.198925,101
2021,132471,barry university,21,fl,11300 ne 2nd ave,miami,2,25.878908,-80.198925,110
2022,132471,barry university,21,fl,11300 ne 2nd ave,miami,2,25.878908,-80.198925,125
2023,132471,barry university,21,fl,11300 ne 2nd ave,miami,2,25.878908,-80.198925,131
2002,132602,bethune cookman college,32,fl,640 dr mary mcleod bethune blvd,daytona beach,2,29.212162,-81.032334,8
2003,132602,bethune cookman college,32,fl,640 dr mary mcleod bethune blvd,daytona beach,2,29.212162,-81.032334,11
2004,132602,bethune cookman college,32,fl,640 dr mary mcleod bethune blvd,daytona beach,2,29.212162,-81.032334,25
2005,132602,bethune cookman college,32,fl,640 dr mary mcleod bethune blvd,daytona beach,2,29.212162,-81.032334,22
2006,132602,bethune cookman college,32,fl,640 dr mary mcleod bethune blvd,daytona beach,2,29.212162,-81.032334,25
2007,132602,bethune-cookman university,32,fl,640 dr mary mcleod bethune blvd,daytona beach,2,29.212162,-81.032334,26
2008,132602,bethune-cookman university,32,fl,640 dr mary mcleod bethune blvd,daytona beach,2,29.212162,-81.032334,39
2009,132602,bethune-cookman university,32,fl,640 dr mary mcleod bethune blvd,daytona beach,2,29.212162,-81.032334,19
2010,132602,bethune-cookman university,32,fl,640 dr mary mcleod bethune blvd,daytona beach,2,29.211653,-81.031893,89
2011,132602,bethune-cookman university,32,fl,640 dr mary mcleod bethune blvd,daytona beach,2,29.210193,-81.031429,61
2012,132602,bethune-cookman university,32,fl,640 dr mary mcleod bethune blvd,daytona beach,2,29.210193,-81.031429,61
2013,132602,bethune-cookman university,32,fl,640 dr mary mcleod bethune blvd,daytona beach,2,29.210193,-81.031429,55
2014,132602,bethune-cookman university,32,fl,640 dr mary mcleod bethune blvd,daytona beach,2,29.210193,-81.031429,45
2015,132602,bethune-cookman university,32,fl,640 dr mary mcleod bethune blvd,daytona beach,2,29.210193,-81.031429,36
2016,132602,bethune-cookman university,32,fl,640 dr mary mcleod bethune blvd,daytona beach,2,29.210193,-81.031429,18
2017,132602,bethune-cookman university,32,fl,640 dr mary mcleod bethune blvd,daytona beach,2,29.207195,-81.032946,25
2018,132602,bethune-cookman university,32,fl,640 dr mary mcleod bethune blvd,daytona beach,2,29.207195,-81.032946,11
2019,132602,bethune-cookman university,32,fl,640 dr mary mcleod bethune blvd,daytona beach,2,29.207195,-81.032946,7
2020,132602,bethune-cookman university,32,fl,640 dr mary mcleod bethune blvd,daytona beach,2,29.207195,-81.032946,9
2021,132602,bethune-cookman university,32,fl,640 dr mary mcleod bethune blvd,daytona beach,2,29.207195,-81.032946,18
2022,132602,bethune-cookman university,32,fl,640 dr mary mcleod bethune blvd,daytona beach,2,29.207195,-81.032946,10
2023,132602,bethune-cookman university,32,fl,640 dr mary mcleod bethune blvd,daytona beach,2,29.207195,-81.032946,6
2002,132693,brevard community college-cocoa campus,40,fl,1519 clearlake rd,cocoa,1,28.384998,-80.75676,0
2003,132693,brevard community college-cocoa campus,40,fl,1519 clearlake rd,cocoa,1,28.384998,-80.75676,0
2004,132693,brevard community college-cocoa campus,40,fl,1519 clearlake rd,cocoa,1,28.384998,-80.75676,0
2005,132693,brevard community college,40,fl,1519 clearlake rd,cocoa,1,28.384998,-80.75676,0
2006,132693,brevard community college,40,fl,1519 clearlake rd,cocoa,1,28.384998,-80.75676,0
2007,132693,brevard community college,40,fl,1519 clearlake rd,cocoa,1,28.384998,-80.75676,0
2008,132693,brevard community college,40,fl,1519 clearlake rd,cocoa,1,28.384998,-80.75676,0
2009,132693,brevard community college,40,fl,1519 clearlake rd,cocoa,1,28.384998,-80.75676,0
2010,132693,brevard community college,40,fl,1519 clearlake rd,cocoa,1,28.385023,-80.755048,0
2011,132693,brevard community college,40,fl,1519 clearlake rd,cocoa,1,28.384791,-80.75813,0
2012,132693,eastern florida state college,40,fl,1519 clearlake rd,cocoa,1,28.384791,-80.75813,0
2013,132693,eastern florida state college,40,fl,1519 clearlake rd,cocoa,1,28.384791,-80.75813,0
2014,132693,eastern florida state college,40,fl,1519 clearlake rd,cocoa,1,28.384791,-80.75813,0
2015,132693,eastern florida state college,40,fl,1519 clearlake rd,cocoa,1,28.384791,-80.75813,0
2016,132693,eastern florida state college,40,fl,1519 clearlake rd,cocoa,1,28.384791,-80.75813,0
2017,132693,eastern florida state college,40,fl,1519 clearlake rd,cocoa,1,28.38361,-80.756474,0
2018,132693,eastern florida state college,40,fl,1519 clearlake rd,cocoa,1,28.38361,-80.756474,0
2019,132693,eastern florida state college,40,fl,1519 clearlake rd,cocoa,1,28.38361,-80.756474,0
2020,132693,eastern florida state college,40,fl,1519 clearlake rd,cocoa,1,28.38361,-80.756474,15
2021,132693,eastern florida state college,40,fl,1519 clearlake rd,cocoa,1,28.38361,-80.756474,36
2022,132693,eastern florida state college,40,fl,3865 north wickham rd,melbourne,1,28.170002,-80.670781,57
2023,132693,eastern florida state college,40,fl,3865 north wickham rd,melbourne,1,28.170002,-80.670781,45
2002,132709,broward community college,40,fl,225 e las olas blvd,ft lauderdale,1,26.11916,-80.141099,0
2003,132709,broward community college,40,fl,225 e las olas blvd,ft lauderdale,1,26.11916,-80.141099,0
2004,132709,broward community college,40,fl,225 e las olas blvd,ft lauderdale,1,26.11916,-80.141099,0
2005,132709,broward community college,40,fl,225 e las olas blvd,fort lauderdale,1,26.11916,-80.141099,0
2006,132709,broward community college,40,fl,225 e las olas blvd,fort lauderdale,1,26.11916,-80.141099,0
2007,132709,broward community college,40,fl,225 e las olas blvd,fort lauderdale,1,26.11916,-80.141099,0
2008,132709,broward college,40,fl,225 e las olas blvd,fort lauderdale,1,26.11916,-80.141099,0
2009,132709,broward college,40,fl,225 e las olas blvd,fort lauderdale,1,26.11916,-80.141099,0
2010,132709,broward college,40,fl,225 e las olas blvd,fort lauderdale,1,26.119185,-80.141088,0
2011,132709,broward college,40,fl,225 e las olas blvd,fort lauderdale,1,26.07972,-80.23541,0
2012,132709,broward college,40,fl,225 e las olas blvd,fort lauderdale,1,26.07972,-80.23541,27
2013,132709,broward college,40,fl,111 east las olas blvd,fort lauderdale,1,26.07972,-80.23541,52
2014,132709,broward college,40,fl,111 east las olas blvd,fort lauderdale,1,26.07972,-80.23541,98
2015,132709,broward college,40,fl,111 east las olas blvd,fort lauderdale,1,26.07972,-80.23541,98
2016,132709,broward college,40,fl,111 east las olas blvd,fort lauderdale,1,26.119422,-80.14183,97
2017,132709,broward college,40,fl,111 east las olas blvd,fort lauderdale,1,26.119422,-80.14183,86
2018,132709,broward college,40,fl,111 east las olas blvd,fort lauderdale,1,26.119422,-80.14183,117
2019,132709,broward college,40,fl,111 east las olas blvd,fort lauderdale,1,26.119422,-80.14183,108
2020,132709,broward college,40,fl,111 east las olas blvd,fort lauderdale,1,26.119422,-80.14183,102
2021,132709,broward college,40,fl,111 east las olas blvd,fort lauderdale,1,26.119422,-80.14183,106
2022,132709,broward college,40,fl,111 east las olas blvd,fort lauderdale,1,26.119422,-80.14183,90
2023,132709,broward college,40,fl,111 east las olas blvd,fort lauderdale,1,26.119422,-80.14183,64
2002,132851,central florida community college,40,fl,3001 sw college rd,ocala,1,29.165012,-82.178208,0
2003,132851,central florida community college,40,fl,3001 sw college rd,ocala,1,29.165012,-82.178208,0
2004,132851,central florida community college,40,fl,3001 sw college rd,ocala,1,29.165012,-82.178208,0
2005,132851,central florida community college,40,fl,3001 sw college rd,ocala,1,29.165012,-82.178208,0
2006,132851,central florida community college,40,fl,3001 sw college rd,ocala,1,29.165012,-82.178208,0
2007,132851,central florida community college,40,fl,3001 sw college rd,ocala,1,29.165012,-82.178208,0
2008,132851,central florida community college,40,fl,3001 sw college rd,ocala,1,29.165012,-82.178208,0
2009,132851,central florida community college,40,fl,3001 sw college rd,ocala,1,29.165012,-82.178208,0
2010,132851,college of central florida,40,fl,3001 sw college rd,ocala,1,29.162642,-82.172474,0
2011,132851,college of central florida,40,fl,3001 sw college rd,ocala,1,29.166079,-82.175692,0
2012,132851,college of central florida,40,fl,3001 sw college rd,ocala,1,29.166079,-82.175692,0
2013,132851,college of central florida,40,fl,3001 sw college rd,ocala,1,29.166079,-82.175692,0
2014,132851,college of central florida,40,fl,3001 sw college rd,ocala,1,29.166079,-82.175692,0
2015,132851,college of central florida,40,fl,3001 sw college rd,ocala,1,29.166079,-82.175692,0
2016,132851,college of central florida,40,fl,3001 sw college rd,ocala,1,29.166079,-82.175692,27
2017,132851,college of central florida,40,fl,3001 sw college rd,ocala,1,29.166079,-82.175692,25
2018,132851,college of central florida,40,fl,3001 sw college rd,ocala,1,29.166079,-82.175692,35
2019,132851,college of central florida,40,fl,3001 sw college rd,ocala,1,29.166079,-82.175692,52
2020,132851,college of central florida,40,fl,3001 sw college rd,ocala,1,29.166079,-82.175692,56
2021,132851,college of central florida,40,fl,3001 sw college rd,ocala,1,29.166079,-82.175692,46
2022,132851,college of central florida,40,fl,3001 sw college rd,ocala,1,29.166079,-82.175692,33
2023,132851,college of central florida,40,fl,3001 sw college rd,ocala,1,29.166079,-82.175692,55
2002,132903,university of central florida,16,fl,4000 central florida blvd,orlando,1,28.596714,-81.203965,136
2003,132903,university of central florida,16,fl,4000 central florida blvd,orlando,1,28.596714,-81.203965,185
2004,132903,university of central florida,16,fl,4000 central florida blvd,orlando,1,28.596714,-81.203965,186
2005,132903,university of central florida,16,fl,4000 central florida blvd,orlando,1,28.596714,-81.203965,230
2006,132903,university of central florida,16,fl,4000 central florida blvd,orlando,1,28.596714,-81.203965,276
2007,132903,university of central florida,16,fl,4000 central florida blvd,orlando,1,28.596714,-81.203965,292
2008,132903,university of central florida,16,fl,4000 central florida blvd,orlando,1,28.596714,-81.203965,371
2009,132903,university of central florida,16,fl,4000 central florida blvd,orlando,1,28.596714,-81.203965,363
2010,132903,university of central florida,16,fl,4000 central florida blvd,orlando,1,28.596731,-81.204004,424
2011,132903,university of central florida,16,fl,4000 central florida blvd,orlando,1,28.60106,-81.198805,440
2012,132903,university of central florida,16,fl,4000 central florida blvd,orlando,1,28.60106,-81.198805,538
2013,132903,university of central florida,16,fl,4000 central florida blvd,orlando,1,28.60106,-81.198805,671
2014,132903,university of central florida,16,fl,4000 central florida blvd,orlando,1,28.60106,-81.198805,729
2015,132903,university of central florida,16,fl,4000 central florida blvd,orlando,1,28.60106,-81.198805,775
2016,132903,university of central florida,16,fl,4000 central florida blvd,orlando,1,28.60106,-81.198805,741
2017,132903,university of central florida,16,fl,4000 central florida blvd,orlando,1,28.602159,-81.200889,672
2018,132903,university of central florida,16,fl,4000 central florida blvd,orlando,1,28.602159,-81.200889,689
2019,132903,university of central florida,16,fl,4000 central florida blvd,orlando,1,28.602159,-81.200889,669
2020,132903,university of central florida,16,fl,4000 central florida blvd,orlando,1,28.602159,-81.200889,904
2021,132903,university of central florida,16,fl,4000 central florida blvd,orlando,1,28.602159,-81.200889,772
2022,132903,university of central florida,16,fl,4000 central florida blvd,orlando,1,28.602159,-81.200889,773
2023,132903,university of central florida,16,fl,4000 central florida blvd,orlando,1,28.602159,-81.200889,734
2002,133021,chipola junior college,40,fl,3094 indian circle,marianna,1,30.787998,-85.231064,0
2003,133021,chipola college,40,fl,3094 indian circle,marianna,1,30.787998,-85.231064,0
2004,133021,chipola college,40,fl,3094 indian circle,marianna,1,30.787998,-85.231064,0
2005,133021,chipola college,40,fl,3094 indian circle,marianna,1,30.787998,-85.231064,0
2006,133021,chipola college,40,fl,3094 indian circle,marianna,1,30.787998,-85.231064,0
2007,133021,chipola college,40,fl,3094 indian circle,marianna,1,30.787998,-85.231064,0
2008,133021,chipola college,40,fl,3094 indian circle,marianna,1,30.787998,-85.231064,0
2009,133021,chipola college,40,fl,3094 indian circle,marianna,1,30.787998,-85.231064,0
2010,133021,chipola college,40,fl,3094 indian circle,marianna,1,30.788008,-85.231002,15
2011,133021,chipola college,40,fl,3094 indian circle,marianna,1,30.790647,-85.231946,10
